Form Name,Form Number,Case types,Plain language description (1-2 sentences),Additional Comments ,
Expedited Child Support Order,FL-382*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",States the court's decision (order) about a request for an expedited child support order.,,
"Notice of Motion and Motion for Simplified Modification of Order for Child, Spousal, or Family Support",FL-390*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tell the other parent (or party) details about a hearing to ask the court to change an order for child support, spousal or domestic partner support, or family support. Explains what other forms need to be complete and how to serve the documents on the other parent.",,
"Information Sheet—Simplified Way to Change Child, Spousal, or Family Support",FL-391,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Explains how to use a simplified process to ask the court to change a child, spousal or domestic partner, or a family support order.",,
"Responsive Declaration to Motion for Simplified Modification of Order for Child, Spousal, or Family Support",FL-392*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tell the court and the other party if you agree or disagree with the request to change a child support. spousal or domestic partner support, or family support order using a simplified process.",,
"Information Sheet – How to Oppose a Request to Change Child, Spousal, or Family Support",FL-393,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Explains how to tell the court and the other parent (or party) that you disagree with the request to change orders for child, spousal or domestic partner, or family support. ",,
Ex Parte Application for Restoration of Former Name After Entry of Judgment and Order (Family Law),FL-395*,"Divorce, annulment",Tell the court that a judgment for divorce or nullity was entered and now you want an order to let you legally use name you had before you married or registered the domestic partnership.,,
Request for Production of an Income and Expense Declaration After Judgment,FL-396*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Ask the other party (your former spouse or domestic partner) to give you current financial information after the court entered a judgment in your case.,,
Request for Income and Benefit Information From Employer,FL-397*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Ask the employer of your former spouse or domestic partner to give you information about employment status and wages if you did not receive a response using form FL-396 or the response received was incomplete.,,
Notice of Activation of Military Service and Deployment and Request to Modify a Support Order,FL-398*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tell that court and the other parent that you are a military service member, you have been activated to duty, deployed out of state, and you want to change a child support order.",This form is out of date. Need to change referemce from OSC to RFO on FL-320.,
Order for Child Support Security Deposit and Evidence of Deposit,FL-400*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Application for Disbursement and Order for Disbursement From Child Support Security Deposit,FL-401*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Order to Show Cause and Affidavit for Contempt,FL-410*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",,,
Affidavit of Facts Constituting Contempt (Financial and Injunctive Orders),FL-411*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Affidavit of Facts Constituting Contempt (Domestic Violence/Custody and Visitation),FL-412*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",,,
Findings and Order Regarding Contempt (Family Law—Domestic Violence Prevention—Uniform Parentage—Governmental),FL-415,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, DV",,,
Declaration of Payment History (Family Law—Governmental—Uniform Parentage Act,FL-420*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Payment History Attachment (Family Law—Governmental—Uniform Parentage Act),FL-421,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
"Ex Parte Application to Issue, Modify, or Terminate an Earnings Assignment Order",FL-430*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Earnings Assignment Order for Spousal or Partner Support (Family Law),FL-435*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Statement for Registration of California Support Order,FL-440,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Request for Hearing Regarding Registration of California Support Order (Family Law–Governmental),FL-445,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, Gov't Suppor",,,
Request For Hearing Regarding Earnings Assignment (Family Law-Governmental-UIFSA),FL-450*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support, Gov't Support, UIFSA",,,
Stay of Service of Earnings Assignment and Order,FL-455*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Qualified Domestic Relations Order for Support (Earnings Assignment Order for Support),FL-460,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Attachment to Qualified Domestic Relations Order for Support (Earnings Assignment Order for Support),FL-461,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Application and Order for Health Insurance Coverage,FL-470*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Employer’s Health Insurance Return,FL-475*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Request and Notice of Hearing Regarding Health Insurance Assignment,FL-478*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Information Sheet and Instructions for Request and Notice of Hearing Regarding Health Insurance Assignment,FL-478-INFO,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Abstract of Support Judgment,FL-480*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Notice of Delinquency,FL-485*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Application to Determine Arrears,FL-490*,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",,,
Summons (UIFSA),FL-510*,UIFSA,,,
Response to Uniform Support Petition (UIFSA),FL-520*,UIFSA,,,
Judgment Regarding Parental Obligations (UIFSA),FL-530*,UIFSA,,,
Ex Parte Application for Transfer and Order (UIFSA),FL-560*,UIFSA,,,
Notice of Registration of Out-of-State Support Order,FL-570,UIFSA,,,
Request for Hearing Regarding Registration of Out-of-State Support Order,FL-575*,UIFSA,,,
Registration of Out-of-State Custody Order,FL-580,UIFSA,,,
Request for Hearing Regarding Registration of Out-of-State Custody Decree,FL-585,UIFSA,,,
UIFSA Child Support Order Jurisdictional Attachment,FL-590A*,UIFSA,,,
,FL-592*,UIFSA,,,
Notice of Registration of an International Hague Convention Support Order,FL-594*,UIFSA,,,
Summons and Complaint or Supplemental Complaint Regarding Parental Obligations (Governmental),FL-600*,Gov't Support,,,
Notice and Acknowledgment of Receipt,FL-605*,Gov't Support,,,
Answer to Complaint or Supplemental Complaint Regarding Parental Obligations (Governmental),FL-610*,Gov't Support,,,
Information Sheet for Service of Process,FL-611,Gov't Support,,,
Stipulation for Judgment or Supplemental Judgment Regarding Parental Obligations and Judgment (Governmental),FL-615*,Gov't Support,,,
Declaration for Amended Proposed Judgment (Governmental),FL-616*,Gov't Support,,,
"Request for Dismissal (Governmental, UIFSA)",FL-618*,"Gov't Support, UIFSA",,,
Request to Enter Default Judgment (Governmental),FL-620*,Gov't Support,,,
Stipulation and Order (Governmental),FL-625*,Gov't Support,,,
Stipulation and Order Waiving Unassigned Arrears (Governmental),FL-626,Gov't Support,,,
Order for Genetic (Parentage) Testing,FL-627*,Gov't Support,,,
Judgment Regarding Parental Obligations (Governmental),FL-630*,Gov't Support,,,
Notice Regarding Payment of Support,FL-632*,Gov't Support,,,
Notice of Change of Responsibility for Managing Child Support Case (Governmental),FL-634*,Gov't Support,,,
Notice of Entry of Judgment and Proof of Service by Mail (Governmental),FL-635*,Gov't Support,,,
Notice and Motion to Cancel (Set Aside) Support Order Based On Presumed Income (Governmental),FL-640*,Gov't Support,,,
Information Sheet For Notice And Motion To Cancel (Set Aside) Support Order Based On Presumed Income,FL-640-INFO,Gov't Support,,,
Declaration of Obligor's Income During Judgment Period-Presumed Income Set-Aside Request,FL-643,Gov't Support,,,
Notice to Local Child Support Agency of Intent to Take Independent Action to Enforce Support Order (Governmental),FL-645*,Gov't Support,,,
Response of Local Child Support Agency to Notice of Intent to Take Independent Action to Enforce Support Order (Governmental),FL-646*,Gov't Support,,,
Statement for Registration of California Support Order (Governmental),FL-650*,Gov't Support,,,
Notice of Registration of California Support Order (Governmental),FL-651*,Gov't Support,,,
Ex Parte Motion by Local Child Support Agency and Declaration for Joinder of Other Parent (Governmental),FL-660*,Gov't Support,,,
Notice of Motion and Declaration for Joinder of Other Parent in Governmental Action (Governmental),FL-661,Gov't Support,,,
Information Sheet For Notice of Motion and Declaration for Joinder of Other Parent in Governmental Action,FL-661-INFO,Gov't Support,,,
Responsive Declaration to Motion for Joinder of Other Parent—Consent Order of Joinder (Governmental),FL-662*,Gov't Support,,,
Information Sheet For Responsive Declaration To Motion For Joinder Of Other Parent—Consent Order Of Joinder,FL-662-INFO,Gov't Support,,,
Stipulation and Order For Joinder of Other Parent (Governmental),FL-663*,Gov't Support,,,
Findings and Recommendation of Commissioner (Governmental),FL-665*,Gov't Support,,,
Notice of Objection (Governmental),FL-666*,Gov't Support,,,
Review of Commissioner's Findings of Fact and Recommendation (Governmental),FL-667*,Gov't Support,,,
Notice of Motion for Judicial Review of License Denial (Governmental),FL-670*,Gov't Support,,,
Order After Judicial Review of License Denial (Governmental),FL-675*,Gov't Support,,,
Request for Determination of Support Arrears (Governmental),FL-676*,Gov't Support,,,
Information Sheet: Request for Determination of Support Arrears (Governmental),FL-676-INFO,Gov't Support,,,
Notice of Opposition and Notice of Motion On Claim of Exemption,FL-677*,Gov't Support,,,
Order Determining Claim of Exemption or Third-Party Claim (Governmental),FL-678*,Gov't Support,,,
Request For Telephone Appearance (Governmental),FL-679*,Gov't Support,,,
Information Sheet—Request for Telephone Appearance (Governmental),FL-679-INFO*,Gov't Support,,,
Notice of Motion (Governmental),FL-680*,Gov't Support,,,
Clerk Calendar Cover Sheet (For Court Clerk Use Only),FL-681,Gov't Support - Just for clerk use,,,
Order to Show Cause (Governmental),FL-683*,Gov't Support,,,
Request for Order and Supporting Declaration (Governmental),FL-684*,Gov't Support,,,
Response to Governmental Notice of Motion or Order to Show Cause (Governmental),FL-685*,Gov't Support,,,
Proof of Service by Mail (Governmental),FL-686*,Gov't Support,,,
Order After Hearing (Governmental),FL-687*,Gov't Support,,,
Short Form Order After Hearing (Governmental),FL-688*,Gov't Support,,,
Minutes and Order or Judgment (Governmental),FL-692*,Gov't Support,,,
Guideline Findings Attachment (Governmental),FL-693,Gov't Support,,,
Advisement and Waiver of Rights for Stipulation (Governmental),FL-694,Gov't Support,,,
Declaration for Default or Uncontested Judgment (Governmental),FL-697*,Gov't Support,,,
Joint Petition for Summary Dissolution,FL-800*,Summary Dissolution,"Start a simplifed process for divorce if you and your spouse or domestic partner have been married or partners for less than 5 years, do not own or owe very much, do not have children together, do not want spousal or partner support from each other, and you meet all other requirements listed in Summary Dissolution Information (form FL-810) to file this type of case.",,
Summary Dissolution Information,FL-810*,Summary Dissolution,"Explains who can use the simplified process to ask for a divorce, what forms you need to complete, and what steps you need to take to start and finish the case.",,
"Request for Judgment, Judgment of Dissolution of Marriage, and Notice of Entry of Judgment (Family Law—Summary Dissolution)",FL-820*,Summary Dissolution,"Tell the court that you filed Joint Summary Dissolution (form FL-800) before January 1, 2011, and that you now want to finish the case.",,
Judgment Of Dissolution And Notice Of Entry Of Judgment,FL-825*,Summary Dissolution,States the court's decision in a summary dissolution case to end your marriage or domestic partnership. This states the date that you become single and tells each of you to comply with the agreement attached to the judgment.,,
Notice of Revocation of Petition for Summary Dissolution,FL-830*,Summary Dissolution,Tell the court that you and your spouse or domestic partner want to stop the summary divorce process. This must be done within 6 months after you filed Joint Petition for Summary Dissolution (form FL-800) and other paperwork to start the case.,,
Request of Minor to Marry or Establish a Domestic Partnership,FL-910,Minor marriage,"Tell the court that you are under the age of 18 years and that you and your proposed spouse or domestic partner want a court order to allow you to marry or register a domestic partnership. Give information about your age, education,  and the written consent of each person's parents. ",not divorce-related,
Consent for Minor to Marry or Establish a Domestic Partnerhip,FL-912,Minor marriage,Tell the court that you are the parent of the minor and that you consent to the minor marrying or  establishing a domestic partnership with the proposed spouse or domestic partner.,not divorce-related,
Order and Notices to Minor on Request to Marry or Establish a Domestic Partnership,FL-915,Minor marriage,"States the court's decision (an order) on the minor's request to marry or register a domestic partnerthip. Includes information about that the court considered, the court's findings, a hearing, if any, and provides notices to the minor that are required by law.",not divorce-related,
Notice of Consolidation,FL-920,Court use only,"Tells court clerks that the parties have multiple cases in family court, identifies the case number of each case, and combines those case under one primary case number.",,
Application and Order for Appointment of Guardian Ad Litem of Minor - Family Law,FL-935,UPA,Tell the court why you think the person you named should be appointed to speak on behalf of the child in the case. This includes a section for the person to consent to the appointment and a place for the court's findings and order.,not divorce-related,
Office of the Family Law Facilitator Disclosure,FL-940,FLF Disclosure,Tells parties in a family law case that the Family Law Facilitator (FLF) is not their lawyers and that any communication with the FLF is not confidential. ,,
Family Law Information Center Disclosure,FL-945,FLI Disclsoure,Tells parties in a family law case that staff at the court's Family Law Information Center (FLIC) are not their lawyers and that any communication with staff in the  is not confidential. ,This is a 2003 form. Do courts still have FLICs? Did these become SHCs? Should we revoke this form?,
Notice of Limited Scope Representation,FL-950*,Attorney's use this (limited scope),The limited scope attorney tells the court and parties that the attorney will represent the client only on the issues and for the period of time specified in the notice.,,
Notice of Completion of Limited Scope Representation,FL-955,Attorney's use this (limited scope),The limited scope attorney tells the court and all parties the date that the attorney completed the  agreed-upon tasks for the client. Also explains what the client must do in response to the notice.,,
Information for Client About Notice of Completion of Limited Scope Representation,FL-955-INFO,Attorney's use this (limited scope),Explains what to do if a client agrees or disagrees that the attorney finished the work that each  agreed would be completed in the family law case.,,
Objection to Proposed Notice of Completion of Limited Scope Representation,FL-956*,Limited Scope,"Tell the court what services the limited scope attorney did not complete. Also, ask for a hearing and an order that the attorney to continue working on your case until the services are completed.",,
Response to Objection to Proposed Notice of Completion of Limited Scope Representation ,FL-957,Limited Scope,The limited scope attorney tells the court and the client what order the attorney is asking the court to make in response to client's Objection to Proposed Notice of Completion of Limited Scope Representation (form FL-956).  ,,
Order on Completion of Limited Scope Representation,FL-958,Limited Scope,States the court's decision (an order) after a hearing that the limited scope attorney did or did not finish the work that the attorney agreed to complete for the client.,,
Notice of Withdrawal of Attorney of Record,FL-960*,Attorney use (withdraw),"Tells the court the parties that the attorney is no longer representing a party in the case after the court entered a final judgment of divorce, legal sepration, or nullity.",,
Request and Declaration for Final Judgment of Dissolution of Marriage (Family Law),FL-970*,"Summary Dissolution, Divorce ","Ask the court to enter a judgment on the date when the judgment could have been originally signed, dated, and filed based on the facts of the case.",,
Application for Order for Publication or Posting,FL-980,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",Ask the court for an order to let you serve the summons in your case by publishing it a newspaper or posting it in a location where the other party will likely see it.,,
Order for Publication or Posting,FL-982,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support",States the court's decision (an order) that you can publish or post a summons in place of another type of legal service.,,
Proof of Service by Posting,FL-985,"Divorce, legal separation, annulment, UPA, Pet. Cust/Support","Tell the court when and where the summons was posted and removed, and identifies the person who  papers.",,
Request for Dismissal ,CIV-110,"Most civil cases, can't use it to dismiss a DV restraining order",Tell the court and the parties that you do not want to go forward with the case.  You also need to use Notice of Entry of Dismissal and Proof of Service (form CIV-120). ,,
Notice of Entry of Dismissal and Proof of Service ,CIV-120,"All Civil, can't dismiss an actual DVRO",Tells the parties about the court's decision to dismiss the case and that more details about the dismissal are shown on Request for Dismissal (form CIV-110).,,
Attachment to Judicial Council Form,MC-025,All JC forms,Gives you more space to complete any Judicial Council form. This is always attached to another form or court paper before it can be filed in court.,,
Attached Declaration,MC-031,All JC forms requiring a declaration signed under penalty of prejurty,Gives you more space to write a declaration that you must sign under penalty of perjury. This is always attached to another form or court paper before it is filed.,,
Notice of Change of Address or Other Contact Information,MC-040,Alll cases.,Give the court and the other parties your new address or other contact information. ,,
Substitution of Attorney-Civil (Without Court Order),MC-050,All Civil cases,Tell the court that you have a new lawyer or that you no longer have a lawyer (and you are representing yourself),,
